FPA_ID,FIRE_YEAR,FIRE_NAME,DISCOVERY_DATE,DISCOVERY_DOY,CAUSE_CLASS,GENERAL_CAUSE,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,MONTH
IRW-2020-CAMNF-000730,2020,DOE,2020-08-16,229,Natural,Natural,589368.0,G,39.76525508,-122.6729135,2
IRW-2020-CASCU-005740,2020,SCU LIGHTNING COMPLEX,2020-08-16,229,Missing data/not specified/undetermined,Missing data/not specified/undetermined,396624.0,G,37.42390497,-121.56771304,5
IRW-2020-CASNF-001391,2020,CREEK,2020-09-04,248,Human,Missing data/not specified/undetermined,379895.0,G,37.20100511,-119.27161265,5
IRW-2020-CAMNF-000757,2020,HOPKINS,2020-08-17,230,Natural,Natural,328363.0,G,40.12537507,-123.07271361,6
IRW-2020-CAPNF-001302,2020,CLAREMONT,2020-08-17,230,Natural,Natural,318776.0,G,39.85827523,-120.91201324,6
IRW-2020-CALNU-013337,2020,HENNESSEY,2020-08-17,230,Natural,Natural,305651.2,G,38.50393738,-122.33726202,6
IRW-2020-CASQF-002541,2020,CASTLE,2020-08-19,232,Natural,Natural,174178.0,G,34.94632491,-118.92581237,7
IRW-2020-CAKNF-007035,2020,SLATER,2020-09-08,252,Missing data/not specified/undetermined,Missing data/not specified/undetermined,157270.0,G,41.85803117,-123.35359791,3
IRW-2020-CASRF-000643,2020,RED,2020-07-27,209,Natural,Natural,142386.0,G,41.19449511,-123.45781382,3
IRW-2020-CALPF-002428,2020,DOLAN,2020-08-18,231,Missing data/not specified/undetermined,Missing data/not specified/undetermined,124924.0,G,36.12328485,-121.60161291,7
IRW-2020-CAANF-003687,2020,BOBCAT,2020-09-06,250,Missing data/not specified/undetermined,Missing data/not specified/undetermined,115997.0,G,34.24812489,-117.95911215,7
IRW-2020-CACZU-005205,2020,CZU AUG LIGHTNING,2020-08-16,229,Missing data/not specified/undetermined,Missing data/not specified/undetermined,86509.0,G,37.25806791,-122.21760812,7
IRW-2020-CANOD-004727,2020,W-5 COLD SPRINGS,2020-08-18,231,Natural,Natural,84817.0,G,41.02865537,-120.2813463,9
FWS-2020USCATKRNAX0,2020,CALDWELL,2020-07-22,204,Natural,Natural,82018.0,G,41.698889,-121.47694399999999,9
IRW-2020-CALNU-015947,2020,GLASS,2020-09-27,271,Human,Equipment and vehicle use,67484.0,G,38.55431299,-122.53097132,10
IRW-2020-CASHU-009978,2020,ZOGG,2020-09-27,271,Human,Power generation/transmission/distribution,56338.0,G,40.54120714,-122.56832659,10
IRW-2020-CALNU-013392,2020,WALLBRIDGE,2020-08-17,230,Natural,Natural,55209.0,G,38.67282296,-123.07803342,10
IRW-2020-CASHF-001358,2020,SHF ELKHORN,2020-08-18,231,Natural,Natural,51576.7,G,40.096175099999996,-122.73401355,10
IRW-2020-CABEU-004024,2020,RIVER,2020-08-16,229,Missing data/not specified/undetermined,Missing data/not specified/undetermined,48088.0,G,36.56300489,-121.64034596,11
IRW-2020-CATNF-001600,2020,LOYALTON,2020-08-14,227,Natural,Natural,47029.0,G,39.68143527,-120.1713131,6
IRW-2020-CAMNP-012356,2020,DOME,2020-08-15,228,Natural,Natural,43273.0,G,35.30103515,-115.59751183,4
IRW-2020-CARRU-096640,2020,APPLE,2020-07-31,213,Human,Equipment and vehicle use,33424.0,G,33.99153437,-116.96369941,7
IRW-2020-CAANF-003273,2020,LAKE,2020-08-12,225,Missing data/not specified/undetermined,Missing data/not specified/undetermined,31089.0,G,34.67861491,-118.45201227,6
IRW-2020-CAFKU-010219,2020,MINERAL,2020-07-13,195,Missing data/not specified/undetermined,Missing data/not specified/undetermined,29667.0,G,36.09493392,-120.52191174,5
